127.0.0.1 - - [04/Jun/2015:09:09:53 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:11 +0900] "GET /taommall/ HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/mainPage.do HTTP/1.1" 200 7040
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/css/topmenu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/image/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/script/modernizr.custom.28468.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/script/jquery.cslider.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/upimage/1433207642915.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/image/gmarket.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/upimage/1433292801598.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/image/auction.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/image/interpark.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/image/11st.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/upimage/1433292781237.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/upimage/1433207674224.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/image/waves.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/upimage/1433207591973.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /taommall/image/arrows.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2015:09:13:12 +0900] "GET /favicon.ico HTTP/1.1" 404 973
